room,tagId,entryTime,exitTime
303,1399,"10-24-2022, 9:41:27 PM","10-24-2022, 9:43:27 PM"
303,1391,"10-24-2022, 9:45:33 PM","10-24-2022, 9:57:33 PM"
209,1395,"10-24-2022, 9:57:27 PM","10-24-2022, 9:59:27 PM"
209,1390,"10-24-2022, 10:01:32 PM","10-24-2022, 10:13:32 PM"
305,1387,"10-25-2022, 12:41:32 AM","10-25-2022, 12:53:32 AM"
206,1393,"10-25-2022, 1:13:33 AM","10-25-2022, 1:25:33 AM"
310,4867,"10-25-2022, 1:25:24 AM","10-25-2022, 1:25:35 AM"
310,9857,"10-25-2022, 1:25:23 AM","10-25-2022, 1:25:35 AM"
310,1399,"10-25-2022, 1:25:27 AM","10-25-2022, 1:27:27 AM"
306,6719,"10-25-2022, 12:05:26 AM","10-25-2022, 12:05:34 AM"
306,4452,"10-25-2022, 12:05:25 AM","10-25-2022, 12:05:34 AM"
306,6442,"10-25-2022, 12:05:23 AM","10-25-2022, 12:05:34 AM"
306,9459,"10-25-2022, 12:05:24 AM","10-25-2022, 12:05:34 AM"
107,7726,"10-24-2022, 10:13:23 PM","10-24-2022, 10:13:34 PM"
107,4307,"10-24-2022, 10:13:24 PM","10-24-2022, 10:13:34 PM"
107,7472,"10-24-2022, 10:13:25 PM","10-24-2022, 10:13:34 PM"
107,4949,"10-24-2022, 10:13:26 PM","10-24-2022, 10:13:34 PM"
107,1396,"10-24-2022, 10:13:27 PM","10-24-2022, 10:15:27 PM"
107,1391,"10-24-2022, 10:17:32 PM","10-24-2022, 10:29:32 PM"
306,1397,"10-24-2022, 10:29:27 PM","10-24-2022, 10:31:27 PM"
306,1393,"10-24-2022, 10:33:32 PM","10-24-2022, 10:45:32 PM"
205,1399,"10-24-2022, 10:45:27 PM","10-24-2022, 10:47:27 PM"
205,1392,"10-24-2022, 10:49:33 PM","10-24-2022, 11:01:33 PM"
310,1400,"10-24-2022, 11:01:27 PM","10-24-2022, 11:03:27 PM"
310,1389,"10-24-2022, 11:05:32 PM","10-24-2022, 11:17:32 PM"
302,1398,"10-24-2022, 11:17:27 PM","10-24-2022, 11:19:27 PM"
302,1391,"10-24-2022, 11:21:32 PM","10-24-2022, 11:33:32 PM"
106,1403,"10-24-2022, 11:33:27 PM","10-24-2022, 11:48:27 PM"
306,1396,"10-25-2022, 12:05:27 AM","10-25-2022, 12:07:27 AM"
306,1387,"10-25-2022, 12:09:32 AM","10-25-2022, 12:21:32 AM"
201,1398,"10-25-2022, 12:21:27 AM","10-25-2022, 12:23:27 AM"
109,9213,"10-24-2022, 11:49:23 PM","10-24-2022, 11:49:34 PM"
109,9987,"10-24-2022, 11:49:24 PM","10-24-2022, 11:49:34 PM"
109,9496,"10-24-2022, 11:49:25 PM","10-24-2022, 11:49:34 PM"
109,4596,"10-24-2022, 11:49:26 PM","10-24-2022, 11:49:34 PM"
109,1397,"10-24-2022, 11:49:27 PM","10-24-2022, 11:51:27 PM"
109,1390,"10-24-2022, 11:53:32 PM","10-25-2022, 12:05:32 AM"
201,1388,"10-25-2022, 12:25:33 AM","10-25-2022, 12:37:33 AM"
110,1405,"10-25-2022, 10:10:17 AM","10-25-2022, 10:25:17 AM"
107,1395,"10-25-2022, 10:26:17 AM","10-25-2022, 10:28:17 AM"
107,9173,"10-25-2022, 10:26:13 AM","10-25-2022, 10:42:14 AM"
107,8642,"10-25-2022, 10:26:14 AM","10-25-2022, 10:42:14 AM"
308,7601,"10-25-2022, 12:53:25 AM","10-25-2022, 12:53:34 AM"
308,9963,"10-25-2022, 12:53:26 AM","10-25-2022, 12:53:34 AM"
107,1391,"10-25-2022, 10:46:23 AM","10-25-2022, 10:58:23 AM"
301,1400,"10-25-2022, 10:58:17 AM","10-25-2022, 11:00:17 AM"
308,4572,"10-25-2022, 12:53:23 AM","10-25-2022, 12:53:34 AM"
308,5535,"10-25-2022, 12:53:24 AM","10-25-2022, 12:53:34 AM"
308,1396,"10-25-2022, 12:53:27 AM","10-25-2022, 12:55:27 AM"
305,8553,"10-25-2022, 12:37:25 AM","10-25-2022, 12:37:35 AM"
305,5172,"10-25-2022, 12:37:26 AM","10-25-2022, 12:37:35 AM"
305,8969,"10-25-2022, 12:37:23 AM","10-25-2022, 12:37:35 AM"
305,9141,"10-25-2022, 12:37:24 AM","10-25-2022, 12:37:35 AM"
305,1394,"10-25-2022, 12:37:27 AM","10-25-2022, 12:39:27 AM"
308,1390,"10-25-2022, 12:57:32 AM","10-25-2022, 1:09:32 AM"
206,1398,"10-25-2022, 1:09:27 AM","10-25-2022, 1:11:27 AM"
310,9506,"10-25-2022, 1:25:25 AM","10-25-2022, 1:25:35 AM"
310,7443,"10-25-2022, 1:25:26 AM","10-25-2022, 1:25:35 AM"
107,1393,"10-25-2022, 10:30:22 AM","10-25-2022, 10:42:22 AM"
107,1400,"10-25-2022, 10:42:17 AM","10-25-2022, 10:44:17 AM"
107,9402,"10-25-2022, 10:42:13 AM","10-25-2022, 10:58:14 AM"
107,6156,"10-25-2022, 10:42:14 AM","10-25-2022, 10:58:14 AM"
301,9847,"10-25-2022, 10:58:13 AM","10-25-2022, 11:14:15 AM"
301,9725,"10-25-2022, 10:58:14 AM","10-25-2022, 11:14:15 AM"
301,5528,"10-25-2022, 10:58:15 AM","10-25-2022, 11:14:15 AM"
301,1393,"10-25-2022, 11:02:23 AM","10-25-2022, 11:14:23 AM"
301,1400,"10-25-2022, 11:14:17 AM","10-25-2022, 11:16:17 AM"
301,5275,"10-25-2022, 11:14:13 AM","10-25-2022, 11:30:16 AM"
301,8669,"10-25-2022, 11:14:14 AM","10-25-2022, 11:30:16 AM"
301,4719,"10-25-2022, 11:14:15 AM","10-25-2022, 11:30:16 AM"
301,6814,"10-25-2022, 11:14:16 AM","10-25-2022, 11:30:16 AM"
301,1390,"10-25-2022, 11:18:22 AM","10-25-2022, 11:30:22 AM"
302,1399,"10-25-2022, 11:30:17 AM","10-25-2022, 11:32:17 AM"
302,9795,"10-25-2022, 11:30:13 AM","10-25-2022, 11:46:16 AM"
302,4506,"10-25-2022, 11:30:15 AM","10-25-2022, 11:46:16 AM"
